,timestamp,customer_no,location
370,07:25:00,49,entrance
371,07:26:00,49,fruit
372,07:27:00,49,fruit
373,07:28:00,49,dairy
374,07:29:00,49,dairy
375,07:30:00,49,dairy
376,07:31:00,49,dairy
377,07:32:00,49,spices
378,07:33:00,49,dairy
379,07:34:00,49,drinks
380,07:35:00,49,checkout
381,07:25:00,50,entrance
382,07:26:00,50,spices
383,07:27:00,50,checkout
384,07:26:00,51,entrance
385,07:27:00,51,drinks
386,07:28:00,51,checkout
387,07:26:00,52,entrance
388,07:27:00,52,fruit
389,07:28:00,52,spices
390,07:29:00,52,dairy
391,07:30:00,52,dairy
392,07:31:00,52,dairy
393,07:32:00,52,dairy
394,07:33:00,52,dairy
395,07:34:00,52,dairy
396,07:35:00,52,dairy
397,07:36:00,52,checkout
398,07:27:00,53,entrance
399,07:28:00,53,dairy
400,07:29:00,53,dairy
401,07:30:00,53,dairy
402,07:31:00,53,dairy
403,07:32:00,53,dairy
404,07:33:00,53,spices
405,07:34:00,53,spices
406,07:35:00,53,drinks
407,07:36:00,53,checkout
408,07:27:00,54,entrance
409,07:28:00,54,spices
410,07:29:00,54,spices
411,07:30:00,54,fruit
412,07:31:00,54,fruit
413,07:32:00,54,checkout
414,07:28:00,55,entrance
415,07:29:00,55,dairy
416,07:30:00,55,dairy
417,07:31:00,55,checkout
418,07:28:00,56,entrance
419,07:29:00,56,spices
420,07:30:00,56,fruit
421,07:31:00,56,fruit
422,07:32:00,56,checkout
423,07:29:00,57,entrance
424,07:30:00,57,spices
425,07:31:00,57,fruit
426,07:32:00,57,checkout
427,07:29:00,58,entrance
428,07:30:00,58,dairy
429,07:31:00,58,dairy
430,07:32:00,58,checkout
431,07:30:00,59,entrance
432,07:31:00,59,fruit
433,07:32:00,59,dairy
434,07:33:00,59,dairy
435,07:34:00,59,dairy
436,07:35:00,59,checkout
437,07:30:00,60,entrance
438,07:31:00,60,fruit
439,07:32:00,60,checkout
440,07:31:00,61,entrance
441,07:32:00,61,drinks
442,07:33:00,61,checkout
443,07:31:00,62,entrance
444,07:32:00,62,dairy
445,07:33:00,62,dairy
446,07:34:00,62,dairy
447,07:35:00,62,spices
448,07:36:00,62,dairy
449,07:37:00,62,dairy
450,07:38:00,62,dairy
451,07:39:00,62,checkout
452,07:32:00,63,entrance
453,07:33:00,63,fruit
454,07:34:00,63,fruit
455,07:35:00,63,fruit
456,07:36:00,63,dairy
457,07:37:00,63,dairy
458,07:38:00,63,dairy
459,07:39:00,63,dairy
460,07:40:00,63,dairy
461,07:41:00,63,dairy
462,07:42:00,63,dairy
463,07:43:00,63,checkout
464,07:32:00,64,entrance
465,07:33:00,64,fruit
466,07:34:00,64,checkout
467,07:33:00,65,entrance
468,07:34:00,65,drinks
469,07:35:00,65,drinks
470,07:36:00,65,drinks
471,07:37:00,65,checkout
472,07:33:00,66,entrance
473,07:34:00,66,fruit
474,07:35:00,66,fruit
475,07:36:00,66,spices
476,07:37:00,66,dairy
477,07:38:00,66,dairy
478,07:39:00,66,dairy
479,07:40:00,66,dairy
480,07:41:00,66,checkout
481,07:34:00,67,entrance
482,07:35:00,67,fruit
483,07:36:00,67,checkout
484,07:34:00,68,entrance
485,07:35:00,68,fruit
486,07:36:00,68,fruit
487,07:37:00,68,fruit
488,07:38:00,68,dairy
489,07:39:00,68,dairy
490,07:40:00,68,dairy
491,07:41:00,68,drinks
492,07:42:00,68,checkout
493,07:35:00,69,entrance
494,07:36:00,69,drinks
495,07:37:00,69,drinks
496,07:38:00,69,drinks
497,07:39:00,69,drinks
498,07:40:00,69,drinks
499,07:41:00,69,drinks
500,07:42:00,69,checkout
